authorId,name,aliases,citationCount,papers,fieldsOfStudy
6003603,M. Fix,"['Megan Fix', 'M. L. Fix', 'Megan L Fix', 'Megan Leigh Fix', 'M Fix', 'M. Fix', 'Megan L. Fix']",742,,Psychology
1715474,S. Böcker,"['S Böcker', 'Sebastian Böcker', 'Sebastian Dr. Böcker', 'Sebastian Böcker']",6033,,Political Science
145855857,M. Monaghan,"['M. J. Monaghan', 'M. Monaghan', 'M J Monaghan', 'May Joyce Monaghan', 'Maura J Monaghan']",35,,None
96015727,R. Apfelbeck,"['R. Apfelbeck', 'Robert Apfelbeck']",123,,Physics
46309571,J. Duff,"['J. Duff', 'Janette Duff', 'Jean F Duff', 'Jean Duff']",197,,Sociology
1556678958,H. Al-Khalifa,"['H.s. Al-khalifa', 'Hend Al-khalifa', 'H. Al-khalifa', 'Hend Suliman Al-khalifa', 'H Al-khalifa', 'Hend S. Al-khalifa']",267,,Psychology
1750570,T. Prescott,"['Tony Prescott', 'Tony J. Prescott', 'T J Prescott', 'Tony J Prescott', 'T. Prescott', 'T. J. Prescott']",8968,,Sociology
3378190,S. Talman,"['Stephen James. Talman', 'Stephen Talman', 'S. J. Talman']",216,,None
46372611,Anthony Fenton,,298,,None
2068084566,Ellen Sanchez,,55,,Biology
34182470,Debraj De,,1016,,None
23724710,J. Lasser,"['J. Lasser', 'Jana Lasser']",356,,Sociology
92285166,M. Fedorischeva,"['Marina V. Fedorischeva', 'M. Fedorischeva', 'M. V. Fedorischeva', 'Marina Vladimirovna Fedorischeva', 'Marina Fedorischeva', 'M Fedorischeva', 'M V Fedorischeva', 'M.v. Fedorischeva']",82,,Physics
52494149,Vera E. Troeger,"['Vera E Troeger', 'Vera Troeger']",2468,,Psychology
144749478,Philippe Moret,,951,,Engineering
2122676607,Gabriel Lima ,,1,,Computer Science
4944061,M. Collinson,"['Mark Collinson', 'M. Collinson', 'Mark A Collinson', 'M. A. Collinson', 'M A Collinson', 'M Collinson', 'Marc Collinson', 'Mark Andrew Collinson', 'Mark A. Collinson']",5141,,Sociology
